date,imoex,ofz5y,eps_fwd,coe,erp,pe
2025-03-20,3223.14,14.774193344,715.0,0.22183336746154372,0.07409143402154372,4.507888111888112
2025-03-21,3191.61,14.9271400134,715.0,0.224024865193429,0.07475346505942901,4.46379020979021
2025-03-24,3178.66,15.195684739,715.0,0.2249375523019134,0.07298070491191339,4.445678321678321
2025-03-25,3164.62,15.2600689316,715.0,0.22593549936485266,0.07333481004885267,4.426041958041958
2025-03-26,3146.31,15.3948943317,715.0,0.22725033451884907,0.07330139120184909,4.400433566433566
2025-03-27,3083.99,15.5057347974,715.0,0.2318425157020613,0.0767851677280613,4.313272727272727
2025-03-28,3025.65,15.5529764318,715.0,0.23631285839406407,0.08078309407606407,4.231678321678322
2025-03-31,3013.36,15.7231188432,715.0,0.23727666126848435,0.08004547283648433,4.214489510489511
2025-04-01,2964.43,15.5440704729,715.0,0.24119307927662317,0.08575237454762319,4.146055944055944
2025-04-02,2926.39,15.6656270227,715.0,0.24432833627780304,0.08767206605080302,4.092853146853146
2025-04-03,2859.58,16.006401868,715.0,0.2500367186789669,0.08997269999896687,3.9994125874125874
2025-04-04,2781.97,16.1752668448,715.0,0.2570121173125519,0.09525944886455193,3.8908671328671325
2025-04-07,2729.89,16.3554765585,715.0,0.26191531526911344,0.09836054968411342,3.8180279720279717
2025-04-08,2746.41,16.1602185012,715.0,0.260339861856023,0.09873767684402299,3.841132867132867
2025-04-09,2650.69,16.541385217,620.0,0.23390136153228028,0.06848750936228029,4.275306451612903
2025-04-10,2764.28,16.2633021329,620.0,0.2242898693330632,0.06165684800406318,4.458516129032258
2025-04-11,2829.92,15.9625572664,620.0,0.21908746537004578,0.059461892706045794,4.564387096774194
2025-04-14,2819.69,15.8908735018,620.0,0.21988232748990136,0.06097359247190137,4.547887096774193
2025-04-15,2805.55,16.0229440185,620.0,0.220990536614924,0.060761096429924,4.525080645161291
2025-04-16,2861.83,15.8918492423,620.0,0.21664459454265278,0.05772610211965279,4.615854838709677
2025-04-17,2865.32,15.8724500379,620.0,0.216380718383985,0.05765621800498502,4.621483870967742
2025-04-18,2872.77,15.9983772818,620.0,0.21581957483543757,0.05583580201743757,4.6335
2025-04-21,2922.46,15.9224078241,620.0,0.21215003798170035,0.05292595974070033,4.713645161290323
2025-04-22,2954.49,15.8830261305,620.0,0.20985009257096826,0.05101983126596826,4.7653064516129024
2025-04-23,2943.23,15.9254597271,620.0,0.210652922129769,0.051398324858768996,4.747145161290323
2025-04-24,2944.43,15.857602004,620.0,0.2105670707063846,0.0519910506663846,4.74908064516129
2025-04-25,3006.14,15.7662951937,620.0,0.20624455281523815,0.04858160087823815,4.848612903225806
2025-04-28,3034.3,15.8730708654,620.0,0.20433048808621426,0.045599779432214244,4.894032258064517
2025-04-29,2957.66,16.100975361,620.0,0.2096251766599271,0.04861542304992711,4.770419354838709
2025-04-30,2918.47,16.0406388038,620.0,0.21244007990488167,0.05203369186688167,4.707209677419354
2025-05-02,2836.7,16.3528169153,620.0,0.21856382416187825,0.05503565500887825,4.575322580645161
2025-05-05,2738.8,16.4114798959,620.0,0.2263765152621586,0.062261716303158576,4.41741935483871
2025-05-06,2820.07,16.4344089554,620.0,0.21985269869187643,0.05550860913787645,4.548500000000001
2025-05-07,2833.09,16.135816367,620.0,0.218842324105482,0.05748416043548199,4.569500000000001
2025-05-08,2850.93,16.0182823934,620.0,0.21747289480976384,0.05729007087576385,4.598274193548387
2025-05-12,2930.17,16.0232238722,620.0,0.2115918189047052,0.0513595801827052,4.72608064516129
2025-05-13,2935.53,16.1890838812,620.0,0.21120547226565559,0.04931463345365561,4.734725806451613
2025-05-14,2924.21,16.0208247553,620.0,0.2120230763180483,0.05181482876504828,4.716467741935484
2025-05-15,2840.05,16.1332395339,620.0,0.2183060157391595,0.05697362040015952,4.580725806451613
2025-05-16,2840.34,16.0760453384,620.0,0.21828372659611173,0.05752327321211173,4.581193548387097
2025-05-19,2882.63,15.9783511476,620.0,0.21508136666863245,0.055297855192632445,4.649403225806452
2025-05-20,2823.42,16.0061845631,620.0,0.21959184251723088,0.05952999688623087,4.553903225806452
2025-05-21,2809.58,15.967239556000001,620.0,0.2206735526306423,0.0610011570706423,4.5315806451612906
2025-05-22,2792.16,15.8935664258,620.0,0.2220503123030199,0.0631146480450199,4.503483870967742
2025-05-23,2770.1,15.7796349407,620.0,0.2238186347063283,0.0660222852993283,4.4679032258064515
2025-05-26,2699.84,16.0500279748,620.0,0.22964323811781437,0.06914295836981438,4.354580645161291
2025-05-27,2736.75,16.0777508937,620.0,0.22654608568557597,0.06576857674857597,4.414112903225806
2025-05-28,2785.2,15.9210712572,620.0,0.22260519890851646,0.06339448633651645,4.492258064516129
2025-05-29,2809.94,15.7727150289,620.0,0.22064528068214978,0.06291813039314978,4.5321612903225805
2025-05-30,2828.83,15.5843408335,620.0,0.21917188378234112,0.0633284754473411,4.562629032258064
2025-06-02,2829.67,15.5085743165,620.0,0.2191068216435132,0.06402107847851318,4.563983870967742
2025-06-03,2834.06,15.3361758583,620.0,0.21876742200235705,0.06540566341935705,4.571064516129032
2025-06-04,2836.64,15.2000395442,620.0,0.21856844717694174,0.06656805173494174,4.575225806451613
2025-06-05,2856.61,15.2327037447,620.0,0.21704047804915616,0.06471344060215617,4.607435483870968
2025-06-06,2786.16,15.4280951952,620.0,0.22252849800442187,0.06824754605242189,4.493806451612903
2025-06-09,2737.76,15.3513324053,620.0,0.2264625094968149,0.0729491854438149,4.415741935483871
2025-06-10,2722.37,15.1491347863,620.0,0.22774273886356375,0.07625139100056375,4.39091935483871
2025-06-11,2733.2,15.0369204688,620.0,0.22684033367481343,0.07647112898681344,4.408387096774193
2025-06-13,2750.32,15.0707968049,620.0,0.22542831379621278,0.07472034574721279,4.436
2025-06-16,2737.83,15.2109700704,620.0,0.22645671937264183,0.07434701866864182,4.415854838709677
2025-06-17,2788.94,15.2622269531,620.0,0.22230668282573307,0.06968441329473307,4.498290322580646
2025-06-18,2791.83,15.0539657509,620.0,0.2220765591028107,0.07153690159381071,4.502951612903225
2025-06-19,2783.81,14.9476048178,620.0,0.22271634917612912,0.07324030099812912,4.4900161290322576
2025-06-20,2751.04,14.9171908265,620.0,0.2253693148772828,0.07619740661228278,4.437161290322581
2025-06-23,2759.67,14.9753416254,620.0,0.22466454322437102,0.074911126970371,4.451080645161291
2025-06-24,2744.95,15.0138732589,620.0,0.22586932366709778,0.07573059107809776,4.427338709677419
2025-06-25,2790.78,14.8153994433,620.0,0.22216011294333482,0.07400611851033481,4.501258064516129
2025-06-26,2797.27,14.7814020619,625.0,0.22343213204302767,0.07561811142402766,4.475632
2025-06-27,2806.11,14.600976902,625.0,0.22272826083082986,0.07671849181082988,4.489776
2025-06-30,2847.38,14.5151733072,625.0,0.21950003160800455,0.07434829853600455,4.555808
2025-07-01,2848.44,14.525570451,625.0,0.21941834828888795,0.07416264377888795,4.557504
2025-07-02,2815.26,14.4381215132,625.0,0.22200436194170342,0.07762314680970342,4.504416
2025-07-03,2823.34,14.4777001229,625.0,0.2213690168382129,0.07659201560921289,4.5173440000000005
